why_not_an_alert,date,time,symbol,outcome,source,raw
"status line - startup banner, not an alert",2026-08-01,17:18,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-03,21:18,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-04,13:40,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-05,00:06,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-07,08:12,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-10,09:16,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-11,09:03,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-12,09:28,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-13,09:37,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-14,09:15,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-15,16:06,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-16,11:44,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-17,18:56,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-18,09:26,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-19,07:06,MGC,FUTURES prop refused,trades.log,PROP-NO  Topstep: MGC is switched off for Topstep — his call. Nothing was sent.
duplicate-guard message - the alert it refers to is logged elsewhere,2026-08-19,09:41,AAPL,OTHER refusal,trades.log,PULLBACK refused  already waiting on a AAPL pullback — not arming a second one
duplicate-guard message - the alert it refers to is logged elsewhere,2026-08-19,09:53,SPY,OTHER refusal,trades.log,PULLBACK refused  already waiting on a SPY pullback — not arming a second one
duplicate-guard message - the alert it refers to is logged elsewhere,2026-08-19,10:12,GOOGL,OTHER refusal,trades.log,PULLBACK refused  already waiting on a GOOGL pullback — not arming a second one
"status line - startup banner, not an alert",2026-08-19,10:57,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
"status line - startup banner, not an alert",2026-08-20,12:00,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-20,13:07,?,FUTURES prop refused,trades.log,PROP-NO  Topstep: logged in but no active ProjectX account came back
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-20,23:38,MGC,FUTURES prop refused,trades.log,PROP-NO  Topstep: MGC is switched off for Topstep — his call. Nothing was sent.
"status line - startup banner, not an alert",2026-08-21,00:36,?,OTHER refusal,trades.log,"test account: unlimited. Nothing is refused for money — instead I keep the most cash that was ever tied up at once, which is the number that tells you what funding this really takes."
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-21,07:51,MGC,FUTURES prop refused,trades.log,PROP-NO  Topstep: MGC is switched off for Topstep — his call. Nothing was sent.
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-21,10:52,?,FUTURES prop refused,trades.log,"PROP-NO  Topstep: Topstep has this account paused or locked (daily-loss pause, or a breach) — nothing sent"
futures prop-firm status (Topstep/ProjectX) - not an option alert,2026-08-21,13:50,MNQ,FUTURES prop refused,trades.log,"PROP-NO  Topstep: ProjectX wouldn't close MNQ (HTTP 200 {""success"":false,""errorCode"":2,""errorMessage"":null})"
